"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"401","2.3831346"," 0.574477094","12.065166","5.137274e-04","2.167928e-02","ENSRNOG00000039405"
"402","1.9159439"," 0.939192039","12.059737","5.152257e-04","2.167928e-02","ENSRNOG00000004077"
"403","1.2060095"," 2.230888318","12.058205","5.156492e-04","2.167928e-02","ENSRNOG00000059225"
"404","2.1561211"," 0.634220176","12.051373","5.175426e-04","2.171010e-02","ENSRNOG00000043261"
"405","2.0262920"," 2.184343673","12.019587","5.264437e-04","2.187972e-02","ENSRNOG00000006255"
"406","1.2995233"," 2.084621832","12.012721","5.283865e-04","2.187972e-02","ENSRNOG00000001692"
"407","2.8641251"," 0.025908860","12.011958","5.286031e-04","2.187972e-02","ENSRNOG00000003143"
"408","2.8673984","-0.005727686","12.004619","5.306885e-04","2.191755e-02","ENSRNOG00000038497"
"409","1.8340725"," 1.543884645","11.971079","5.403263e-04","2.224278e-02","ENSRNOG00000058276"
"410","1.1298261"," 2.526933907","11.968961","5.409410e-04","2.224278e-02","ENSRNOG00000059625"
"411","1.5094958"," 2.382774753","11.959475","5.437018e-04","2.230727e-02","ENSRNOG00000033923"
"412","0.9375989"," 4.347937924","11.945913","5.476738e-04","2.235811e-02","ENSRNOG00000017178"
"413","1.8920105"," 1.269852060","11.936548","5.504338e-04","2.235811e-02","ENSRNOG00000051249"
"414","1.8799016"," 1.226212332","11.934916","5.509160e-04","2.235811e-02","ENSRNOG00000039325"
"415","2.8281446","-0.116696830","11.926234","5.534894e-04","2.236552e-02","ENSRNOG00000018834"
"416","1.0043892"," 3.093363800","11.879043","5.676910e-04","2.284071e-02","ENSRNOG00000011809"
"417","2.9400453","-0.321737810","11.865691","5.717756e-04","2.295569e-02","ENSRNOG00000052661"
"418","2.4282477"," 0.324477883","11.856052","5.747426e-04","2.302540e-02","ENSRNOG00000053904"
"419","1.8700876"," 1.072715635","11.826218","5.840249e-04","2.334727e-02","ENSRNOG00000021290"
"420","1.5991701"," 1.600892953","11.799830","5.923613e-04","2.345399e-02","ENSRNOG00000016505"
"421","2.0041957"," 1.338630627","11.797652","5.930546e-04","2.345399e-02","ENSRNOG00000040116"
"422","1.5421884"," 2.024832895","11.797525","5.930952e-04","2.345399e-02","ENSRNOG00000006314"
"423","1.6616908"," 1.533669778","11.791415","5.950449e-04","2.345399e-02","ENSRNOG00000006311"
"424","2.8133872","-0.449179682","11.786171","5.967235e-04","2.345399e-02","ENSRNOG00000054354"
"425","1.4222896"," 2.284731178","11.767730","6.026644e-04","2.363784e-02","ENSRNOG00000049504"
"426","0.7447041"," 4.303625055","11.751857","6.078257e-04","2.374073e-02","ENSRNOG00000026087"
"427","1.1436806"," 2.435690711","11.739875","6.117514e-04","2.384429e-02","ENSRNOG00000023536"
"428","2.4682546"," 0.357942666","11.735274","6.132654e-04","2.385360e-02","ENSRNOG00000043197"
"429","1.6105038"," 1.726198911","11.709622","6.217774e-04","2.413451e-02","ENSRNOG00000024640"
"430","1.8813533"," 1.822995335","11.697519","6.258348e-04","2.423720e-02","ENSRNOG00000001794"
"431","1.6562804"," 1.794413198","11.690988","6.280355e-04","2.423720e-02","ENSRNOG00000056037"
"432","1.2612278"," 2.786833778","11.690176","6.283096e-04","2.423720e-02","ENSRNOG00000050042"
"433","1.4016630"," 1.709288017","11.680384","6.316250e-04","2.431497e-02","ENSRNOG00000010440"
"434","1.8178492"," 1.106824475","11.659425","6.387809e-04","2.453994e-02","ENSRNOG00000005100"
"435","1.5276598"," 1.786109678","11.645296","6.436509e-04","2.467636e-02","ENSRNOG00000060055"
"436","1.5446316"," 1.571571363","11.627074","6.499873e-04","2.486833e-02","ENSRNOG00000061004"
"437","0.9143881"," 3.896970625","11.605924","6.574207e-04","2.510140e-02","ENSRNOG00000003028"
"438","1.4719526"," 1.834844374","11.589528","6.632426e-04","2.521874e-02","ENSRNOG00000015567"
"439","1.3862929"," 2.716294253","11.584153","6.651621e-04","2.521874e-02","ENSRNOG00000015666"
"440","2.6686999","-0.105396924","11.574566","6.686004e-04","2.521874e-02","ENSRNOG00000016075"
"441","1.2212118"," 2.470577958","11.562386","6.729943e-04","2.521874e-02","ENSRNOG00000025110"
"442","2.7606437"," 0.454858212","11.561847","6.731895e-04","2.521874e-02","ENSRNOG00000048643"
"443","1.6809022"," 1.679843173","11.559796","6.739323e-04","2.521874e-02","ENSRNOG00000052151"
"444","1.5377537"," 1.710276494","11.559733","6.739553e-04","2.521874e-02","ENSRNOG00000059805"
"445","2.2938230"," 0.645709302","11.559042","6.742059e-04","2.521874e-02","ENSRNOG00000026265"
"446","0.9138190"," 3.335445849","11.557088","6.749148e-04","2.521874e-02","ENSRNOG00000006911"
"447","1.8501553"," 1.104450335","11.555968","6.753215e-04","2.521874e-02","ENSRNOG00000053136"
"448","1.1298054"," 2.414899501","11.543496","6.798668e-04","2.533790e-02","ENSRNOG00000019271"
"449","2.2559367"," 0.811059235","11.539705","6.812546e-04","2.533915e-02","ENSRNOG00000059817"
"450","1.4091290"," 2.401544243","11.526827","6.859899e-04","2.541423e-02","ENSRNOG00000014505"
"451","1.6714257"," 1.112581893","11.490399","6.995661e-04","2.574768e-02","ENSRNOG00000060599"
"452","1.1651964"," 2.689540711","11.487932","7.004954e-04","2.574768e-02","ENSRNOG00000001714"
"453","1.9273434"," 1.422214419","11.475871","7.050561e-04","2.586450e-02","ENSRNOG00000007590"
"454","1.5437650"," 1.710592803","11.459260","7.113862e-04","2.597159e-02","ENSRNOG00000049991"
"455","1.4940168"," 2.164769136","11.454230","7.133146e-04","2.597159e-02","ENSRNOG00000003722"
"456","1.6165327"," 1.924936014","11.453674","7.135280e-04","2.597159e-02","ENSRNOG00000033026"
"457","1.3357945"," 2.307039837","11.445279","7.167585e-04","2.603852e-02","ENSRNOG00000008219"
"458","2.2895227"," 0.669716240","11.432199","7.218219e-04","2.617164e-02","ENSRNOG00000013829"
"459","2.0069543"," 0.864759441","11.398603","7.349937e-04","2.654633e-02","ENSRNOG00000032548"
"460","2.5762355"," 0.368186885","11.379015","7.427850e-04","2.676421e-02","ENSRNOG00000011628"
"461","0.9914483"," 3.023930408","11.376260","7.438874e-04","2.676421e-02","ENSRNOG00000016550"
"462","1.9895655"," 1.769363481","11.365641","7.481526e-04","2.681453e-02","ENSRNOG00000001622"
"463","1.7997903"," 1.191413555","11.350024","7.544699e-04","2.693774e-02","ENSRNOG00000020410"
"464","1.1748786"," 2.177006446","11.331048","7.622187e-04","2.712397e-02","ENSRNOG00000005697"
"465","1.6074177"," 1.807073136","11.329584","7.628197e-04","2.712397e-02","ENSRNOG00000032778"
"466","1.7163595"," 0.949934556","11.320707","7.664752e-04","2.712397e-02","ENSRNOG00000007002"
"467","2.6273316"," 0.005673523","11.320498","7.665615e-04","2.712397e-02","ENSRNOG00000026315"
"468","1.2625607"," 2.160878345","11.319594","7.669347e-04","2.712397e-02","ENSRNOG00000016877"
"469","3.2111540","-0.242133244","11.313314","7.695330e-04","2.716451e-02","ENSRNOG00000058462"
"470","2.5148891"," 0.445978079","11.308361","7.715885e-04","2.718578e-02","ENSRNOG00000018792"
"471","1.8657140"," 0.934412672","11.296462","7.765492e-04","2.730913e-02","ENSRNOG00000042555"
"472","1.3515825"," 1.648429966","11.285532","7.811343e-04","2.733024e-02","ENSRNOG00000021310"
"473","1.3475255"," 2.469100889","11.284588","7.815318e-04","2.733024e-02","ENSRNOG00000019577"
"474","0.9902167"," 3.107314124","11.281097","7.830027e-04","2.733059e-02","ENSRNOG00000037462"
"475","2.3300050"," 0.629797050","11.274007","7.859989e-04","2.738408e-02","ENSRNOG00000026613"
"476","1.4428200"," 1.502891849","11.268595","7.882936e-04","2.741298e-02","ENSRNOG00000046264"
