"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"14","-6.74873006143494","4.03894778918815","467.605796367587","1.06357405915669e-103","1.04974759638765e-100","498940","Ces2h","ENSRNOG00000039079"
"15","-7.16665724912165","6.58230537484476","464.085720359418","6.20549456122619e-103","5.71650158980157e-100","366792","Mettl7b","ENSRNOG00000007927"
"16","5.35718824191937","6.60025940270152","452.292363238725","2.28684482468522e-100","1.97497636171877e-97","58835","Phgdh","ENSRNOG00000019328"
"17","-6.96123717173853","5.76446647508706","449.569631483839","8.94902614438962e-100","7.27397901548093e-97","291283","Akr1c2","ENSRNOG00000029844"
"18","-6.79505643972409","5.06021304122757","439.750630845076","1.22664414739256e-97","9.41653823815025e-95","63867","Ugt2a1","ENSRNOG00000001973"
"19","-6.0754614667272","5.5679781327385","434.847225267229","1.43186955981432e-96","1.04134597776391e-93","300920","Cldn2","ENSRNOG00000054495"
"20","4.19539992185564","5.64027073514437","409.50105474611","4.70689160150688e-91","3.25199140748111e-88","117089","Bex3","ENSRNOG00000028822"
"21","5.6252041881083","4.24632700962027","404.619293357366","5.43734375954707e-90","3.57777219378197e-87","303824","Igf2bp2","ENSRNOG00000025946"
"22","-6.45479507390464","6.38370959959128","402.654031716164","1.45609605959139e-89","9.14560697792449e-87","690745","Mtarc1","ENSRNOG00000004101"
"23","4.50837094191161","4.80450207940473","399.531993770223","6.96328021520486e-89","4.1834176527696e-86","498662","Tdrp","ENSRNOG00000027245"
"24","6.52051165565318","8.70277568811116","398.054052215093","1.46064801751373e-88","8.40968096083529e-86","498416","Grb10","ENSRNOG00000004290"
"25","-6.72758976349053","5.3744169520349","397.456251037643","1.97097532805635e-88","1.0893974833233e-85","246266","Aspg","ENSRNOG00000012843"
"26","4.69080254583427","6.39650639401863","397.117041715072","2.33627541178786e-88","1.24164052461864e-85","299923","Ndrg1","ENSRNOG00000007393"
"27","5.01372750722","4.01624031684233","396.892503205846","2.61459339307182e-88","1.33809079649875e-85","106146145","Baiap3","ENSRNOG00000017893"
"28","5.07477431853561","6.93400999799284","395.279221233102","5.86953819765073e-88","2.89661710054064e-85","290558","Nt5dc2","ENSRNOG00000018358"
"29","-6.70337612637883","4.55165411932208","392.141516110897","2.82924034606778e-87","1.34808424489533e-84","303743","Notum","ENSRNOG00000036680"
"30","-6.44486400844906","5.21746785034635","385.764291727026","6.9184506044727e-86","3.18663834842012e-83","293779","Glyat","ENSRNOG00000012142"
"31","-3.96655839747191","5.27762668531856","383.431140272653","2.22821351647506e-85","9.74513990125029e-83","313373","Cyp2j10","ENSRNOG00000042224"
"32","-5.21344660054075","7.28587573169663","383.405711735561","2.25679893501237e-85","9.74513990125029e-83","289178","Dpt","ENSRNOG00000002947"
"33","-7.291380968031","6.92678149872345","377.780363313502","3.78629725997692e-84","1.58542592540488e-81","299276","Serpina3m","ENSRNOG00000009921"
"34","-6.3047937628489","7.92996489431903","371.740478022853","7.82060701930084e-83","3.17838669978526e-80","24862","Ugt2b","ENSRNOG00000046540"
"35","4.92279115907575","5.71512501992714","364.944551108231","2.36016443364359e-81","9.31792918402489e-79","24539","Lpl","ENSRNOG00000012181"
"36","-4.95511941702037","6.10149126134796","364.261430181212","3.3241815287519e-81","1.27593167678594e-78","288985","Insig2","ENSRNOG00000002478"
"37","-6.96580460316551","6.33085055336924","362.449871787936","8.24396955374934e-81","3.07878841334347e-78","170698","Slco1a4","ENSRNOG00000047493"
"38","-6.90413835523487","8.16844551380409","359.213733343359","4.17630083323878e-80","1.51863486614983e-77","140638","Apoa5","ENSRNOG00000018436"
"39","-6.65121927184823","6.26891413503956","358.898413060423","4.89161596353952e-80","1.73313716369715e-77","84493","Fmo3","ENSRNOG00000003620"
"40","-6.55534302757506","8.52422225540048","358.51833551643","5.91853147574752e-80","2.04455669829698e-77","24346","Ces1c","ENSRNOG00000015438"
"41","-3.98762387244287","5.61006245793854","355.238868621541","3.0642596808064e-79","1.03273025047275e-76","301264","Cyp39a1","ENSRNOG00000010519"
"42","-6.42552770457761","4.37096059354857","353.199006222782","8.52156965495672e-79","2.80359641648076e-76","24385","Gck","ENSRNOG00000061527"
"43","-4.5744943114463","5.10463624286424","351.713717901535","1.79455106737272e-78","5.76676898812936e-76","65164","Htra1","ENSRNOG00000020533"
"44","6.27220319617079","7.71617272627123","350.714919233434","2.96112173641761e-78","9.29926821677693e-76","25236","Gpc3","ENSRNOG00000060179"
"45","4.80039784567566","7.00071104882954","346.077990375919","3.02849138243676e-77","9.29948753833581e-75","293820","Psat1","ENSRNOG00000013971"
