"","ENSEMBL"
"Ppfia4","ENSRNOG00000003494"
"Dnah6","ENSRNOG00000015581"
"Il2ra","ENSRNOG00000047647"
"Rhd","ENSRNOG00000017130"
"Pik3c2b","ENSRNOG00000029938"
"Gdpd2","ENSRNOG00000002800"
"Prss29","ENSRNOG00000039405"
"Chaf1b","ENSRNOG00000001692"
"Aox2","ENSRNOG00000033923"
"Rpgrip1","ENSRNOG00000011809"
"Fam169a","ENSRNOG00000016505"
"Zbp1","ENSRNOG00000006314"
"Dnah17","ENSRNOG00000003028"
"Vwa3a","ENSRNOG00000025110"
"Sptb","ENSRNOG00000006911"
"Ulk4","ENSRNOG00000019271"
"Mcpt8","ENSRNOG00000049991"
"Dclk3","ENSRNOG00000033026"
"Ccdc33","ENSRNOG00000008219"
"Dclk2","ENSRNOG00000016550"
"Slc6a11","ENSRNOG00000005697"
"Bub1","ENSRNOG00000032778"
"Lif","ENSRNOG00000007002"
"Pdzd9","ENSRNOG00000016292"
"Pkd1l3","ENSRNOG00000052310"
"Tnr","ENSRNOG00000002468"
"Bfsp2","ENSRNOG00000010899"
"Tspan5","ENSRNOG00000015913"
"LOC686087","ENSRNOG00000058316"
"Sncaip","ENSRNOG00000018254"
"Tcam1","ENSRNOG00000010929"
"Piwil4","ENSRNOG00000009043"
"Arhgef28","ENSRNOG00000016544"
"Pdzd4","ENSRNOG00000056174"
"Cacna1a","ENSRNOG00000052707"
"Iqgap3","ENSRNOG00000027894"
"Abcb9","ENSRNOG00000001082"
"Ppp4r4","ENSRNOG00000054052"
"Dnah11","ENSRNOG00000005451"
"Cpt1c","ENSRNOG00000026163"
"Col22a1","ENSRNOG00000024824"
"Ccdc8","ENSRNOG00000027936"
"NA","ENSRNOG00000030145"
"Ank2","ENSRNOG00000011076"
"Cass4","ENSRNOG00000021560"
"NA","ENSRNOG00000006956"
"Ncs1","ENSRNOG00000008761"
"Adgrb2","ENSRNOG00000014375"
"Pmp22","ENSRNOG00000003338"
"Trpv5","ENSRNOG00000015394"
"Arpp21","ENSRNOG00000008919"
"Pkd1l2","ENSRNOG00000045626"
"RGD1559662","ENSRNOG00000028926"
"Efs","ENSRNOG00000042029"
"Capn8","ENSRNOG00000003468"
"Them4","ENSRNOG00000020829"
"Card11","ENSRNOG00000024277"
"Neil3","ENSRNOG00000011688"
"Ptprz1","ENSRNOG00000006030"
"Il16","ENSRNOG00000011680"
"CYTB","ENSRNOG00000031766"
"Alpk3","ENSRNOG00000011659"
"Greb1","ENSRNOG00000024651"
"Lgals12","ENSRNOG00000021207"
"Retnlg","ENSRNOG00000001943"
"Slc14a1","ENSRNOG00000016753"
"Cit","ENSRNOG00000001143"
"Kif18b","ENSRNOG00000021713"
"Kcnc3","ENSRNOG00000019959"
"Kcnt1","ENSRNOG00000017283"
"Col5a3","ENSRNOG00000020525"
"Ckap2","ENSRNOG00000024650"
"Sapcd2","ENSRNOG00000013069"
"Msi1","ENSRNOG00000001156"
"Adgrg3","ENSRNOG00000014896"
"Sgo1","ENSRNOG00000022499"
"Igf2bp1","ENSRNOG00000006122"
"Abca17","ENSRNOG00000039656"
"Sema4d","ENSRNOG00000013679"
"Entpd3","ENSRNOG00000018982"
"Snai3","ENSRNOG00000013586"
"Camkmt","ENSRNOG00000030629"
"Ccl7","ENSRNOG00000000239"
"Adgre4","ENSRNOG00000050325"
"Hmcn1","ENSRNOG00000028627"
"S100a4","ENSRNOG00000011821"
"Pnliprp1","ENSRNOG00000017908"
"RGD1311744","ENSRNOG00000005960"
"Alox12","ENSRNOG00000027037"
"Rab6b","ENSRNOG00000009198"
"Rab7b","ENSRNOG00000039754"
"Stkld1","ENSRNOG00000027911"
"Ttk","ENSRNOG00000029055"
"Stmn2","ENSRNOG00000011705"
"Nefl","ENSRNOG00000013658"
"Kif17","ENSRNOG00000014970"
"RGD1560402","ENSRNOG00000026928"
"Myo5c","ENSRNOG00000008356"
"Aqp3","ENSRNOG00000009797"
"Olfm4","ENSRNOG00000013280"
