"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000016591",101,93,101,163,26,24,56,111,113,299,172,211,288,181,159,193,"Utp15"
"ENSRNOG00000048118",1,0,1,0,2,0,2,2,0,3,1,4,2,1,1,1,"LOC108348276"
"ENSRNOG00000016912",1376,1750,1741,1476,624,625,1184,3602,3630,3654,3426,3169,3805,3437,2965,3585,"Btf3"
"ENSRNOG00000056225",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"RF00560"
"ENSRNOG00000043332",1,0,0,0,0,0,0,0,2,3,2,0,1,0,6,0,"Foxd1"
"ENSRNOG00000057328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000051855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00402"
"ENSRNOG00000061197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007793.1"
"ENSRNOG00000015472",0,0,0,1,0,0,0,0,1,5,0,1,0,0,1,2,"Tmem174"
"ENSRNOG00000015449",8,5,2,0,24,50,52,59,23,46,35,93,41,30,28,47,"Tmem171"
"ENSRNOG00000059761",0,0,1,0,0,0,1,0,7,3,2,3,5,6,8,2,"AABR07007798.1"
"ENSRNOG00000061406",0,0,0,0,2,1,0,0,0,5,2,3,2,0,0,1,"AABR07007799.1"
"ENSRNOG00000056276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007802.2"
"ENSRNOG00000055452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07007802.1"
"ENSRNOG00000015334",369,338,339,374,61,75,126,211,487,577,462,470,564,559,498,580,"Fcho2"
"ENSRNOG00000014999",507,464,447,605,128,128,184,276,604,960,628,715,836,733,584,680,"Tnpo1"
"ENSRNOG00000045818",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOC684444"
"ENSRNOG00000017249",12,8,6,3,0,3,0,1,6,9,3,4,12,10,10,5,"Zfp366"
"ENSRNOG00000028403",67,94,76,53,45,72,91,167,142,153,94,107,138,121,89,104,"Ptcd2"
"ENSRNOG00000017272",296,230,370,287,100,113,163,432,951,1065,945,945,961,945,842,943,"Mrps27"
"ENSRNOG00000017428",17,21,15,26,38,38,18,19,63,39,65,62,36,66,60,78,"Map1b"
"ENSRNOG00000056895",0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,"AABR07007833.2"
