"","ENSEMBL","SYMBOL","LAP-Adult_logFC","LAP-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"26","ENSRNOG00000003028","Dnah17",1.30317850340668,0.0178142110411618,0.9143881,0.0251014,NA,NA
"27","ENSRNOG00000003104","Trpv2",1.75045994780118,8.74450543249217e-06,1.3529423,0.01869847,NA,NA
"28","ENSRNOG00000003183","Fmod",2.97320162685423,0.000469017711949184,2.3358606,0.003032904,NA,NA
"29","ENSRNOG00000003338","Pmp22",2.09870894826883,1.62580089732713e-12,1.2933497,0.03359166,NA,NA
"30","ENSRNOG00000003468","Capn8",4.97708848090094,0.00017744057799493,1.2668055,0.03485117,NA,NA
"31","ENSRNOG00000003494","Ppfia4",1.1487425887049,0.0172044229415456,1.0618959,0.01980146,NA,NA
"32","ENSRNOG00000003537","Spta1",5.31991514743018,1.71406129088454e-25,1.5578844,0.00478627,NA,NA
"33","ENSRNOG00000003763","Prdx4",-0.524041317013747,0.0114916677849019,NA,NA,-0.8169477,0.023740733
"34","ENSRNOG00000003873","Cpd",-1.36117674806259,1.9064879731572e-05,NA,NA,-0.6265154,0.032750231
"35","ENSRNOG00000004234","Mgat2",-1.02106148292117,1.17608051438445e-06,NA,NA,-0.5996389,0.032594662
"36","ENSRNOG00000004242","Pole2",3.4847673685718,2.22625307162123e-17,2.0260366,0.01632281,NA,NA
"37","ENSRNOG00000004284","Btg1",-1.35967057814054,5.04274787603623e-10,NA,NA,-0.6595972,0.025971586
"38","ENSRNOG00000004560","Cacna1b",2.64682661791469,0.0033786253721668,1.6795635,0.0001169129,NA,NA
"39","ENSRNOG00000004749","Slc30a1",-1.57680744833535,1.74892697443837e-09,NA,NA,-0.6260833,0.049335601
"40","ENSRNOG00000004882","Capn6",4.53563531936784,9.88905017285203e-13,1.4724168,0.04734546,NA,NA
"41","ENSRNOG00000005451","Dnah11",2.94586950575098,5.23541669568229e-07,0.7172959,0.03134554,NA,NA
"42","ENSRNOG00000005551","Derl1",-0.648309491893512,0.000261640604132428,NA,NA,-0.6294748,0.044896339
"43","ENSRNOG00000005960","RGD1311744",2.78991070899612,1.04768536565317e-06,1.5641001,0.04607877,NA,NA
"44","ENSRNOG00000006030","Ptprz1",0.881133257462913,0.00150775477259793,1.0722113,0.03709673,NA,NA
"45","ENSRNOG00000006122","Igf2bp1",4.82665950737102,9.19206058254293e-29,1.2501121,0.04148423,NA,NA
"46","ENSRNOG00000006280","Pcsk9",0.769087446487639,0.00432835906508414,NA,NA,-0.6331291,0.03204264
"47","ENSRNOG00000006527","Slc6a1",-1.65600372422242,0.0124219911557615,1.4504713,0.01513566,NA,NA
"48","ENSRNOG00000006623","Cd302",-2.27521050396085,1.41067119429172e-10,NA,NA,-0.5819807,0.049301898
"49","ENSRNOG00000006860","Itk",4.88029093167626,3.22429331138646e-09,1.4218896,0.01513566,NA,NA
"50","ENSRNOG00000006911","Sptb",5.54652404779568,6.76039660309044e-26,0.913819,0.02521874,NA,NA
"51","ENSRNOG00000007002","Lif",4.26343690116961,6.29133526396233e-08,1.7163595,0.02712397,NA,NA
"52","ENSRNOG00000007100","Ccdc136",2.45747726955172,1.03319454307295e-06,1.1906144,0.008804004,NA,NA
"53","ENSRNOG00000007203","Psmc6",-1.07032370764105,4.27223880136501e-09,NA,NA,-0.7372148,0.019391688
"54","ENSRNOG00000007206","Cfap20dc",2.51525512405013,8.59230261566725e-07,1.5795629,0.007841299,NA,NA
"55","ENSRNOG00000007229","Nr0b2",-7.23068437832986,8.14016324172051e-43,NA,NA,-0.9951182,0.022358107
"56","ENSRNOG00000007281","Flnc",1.92996401161418,4.30117024535185e-05,1.3126675,0.01296085,NA,NA
"57","ENSRNOG00000007769","Marchf2",-1.19911811191875,6.97307554417525e-07,NA,NA,-0.6016371,0.049390557
"58","ENSRNOG00000007865","Ephb1",-1.12116475727322,0.0378972716550653,1.1203158,0.03434025,NA,NA
"59","ENSRNOG00000007869","Wscd1",0.977394972367632,0.0144639013036426,1.2478207,0.00896302,NA,NA
"60","ENSRNOG00000008219","Ccdc33",7.63177598105742,1.00860066529936e-14,1.3357945,0.02603852,NA,NA
