"","ENSEMBL","SYMBOL","Single-Adult_logFC","Single-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"28","ENSRNOG00000003468","Capn8",5.13060371231612,8.92439757044344e-05,1.2668055,0.03485117,NA,NA
"29","ENSRNOG00000003537","Spta1",6.41314469760328,2.83568517422609e-33,1.5578844,0.00478627,NA,NA
"30","ENSRNOG00000003653","Fh",-0.421548460392924,0.0449332265278604,NA,NA,-0.5350949,0.049837056
"31","ENSRNOG00000003763","Prdx4",-0.526460539156378,0.0112571179740995,NA,NA,-0.8169477,0.023740733
"32","ENSRNOG00000003873","Cpd",-1.1006414133703,0.000572149402886626,NA,NA,-0.6265154,0.032750231
"33","ENSRNOG00000004234","Mgat2",-1.06484348472603,3.96920093620438e-07,NA,NA,-0.5996389,0.032594662
"34","ENSRNOG00000004242","Pole2",3.5311273590627,8.43859455359752e-18,2.0260366,0.01632281,NA,NA
"35","ENSRNOG00000004284","Btg1",-1.49933191250801,7.16546403206039e-12,NA,NA,-0.6595972,0.025971586
"36","ENSRNOG00000004749","Slc30a1",-1.23519300907766,2.34606916916384e-06,NA,NA,-0.6260833,0.049335601
"37","ENSRNOG00000004882","Capn6",5.59625098235009,5.08795987084065e-20,1.4724168,0.04734546,NA,NA
"38","ENSRNOG00000005451","Dnah11",3.17174914988772,3.9034808959976e-08,0.7172959,0.03134554,NA,NA
"39","ENSRNOG00000005551","Derl1",-0.674146911064543,0.000144882470274578,NA,NA,-0.6294748,0.044896339
"40","ENSRNOG00000005960","RGD1311744",3.27254501137562,3.73237543636679e-09,1.5641001,0.04607877,NA,NA
"41","ENSRNOG00000006030","Ptprz1",0.877676683387148,0.00160268397292381,1.0722113,0.03709673,NA,NA
"42","ENSRNOG00000006122","Igf2bp1",4.99051248716422,8.15769056409838e-31,1.2501121,0.04148423,NA,NA
"43","ENSRNOG00000006280","Pcsk9",0.809635606745188,0.00263596897110568,NA,NA,-0.6331291,0.03204264
"44","ENSRNOG00000006527","Slc6a1",-2.15548111507886,0.00130156446286503,1.4504713,0.01513566,NA,NA
"45","ENSRNOG00000006623","Cd302",-2.38848146889613,1.86358241639234e-11,NA,NA,-0.5819807,0.049301898
"46","ENSRNOG00000006911","Sptb",6.58479577078596,5.55546028645084e-33,0.913819,0.02521874,NA,NA
