"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"74","-4.87817801192794","7.44940760432379","361.648288699585","1.23218547036589e-80","1.6692489048545e-78","309262","Nsdhl","ENSRNOG00000057814"
"75","-4.741324851354","5.89347586191921","360.278091838505","2.44923426401797e-80","3.25418452501927e-78","287805","Gprc5c","ENSRNOG00000003144"
"76","-6.23601316576312","7.29506364494349","359.796837009928","3.11761261880391e-80","4.06407275156909e-78","79111","Slc27a5","ENSRNOG00000019626"
"77","-7.49771444965779","6.33085055336924","358.5756318346","5.75092514356004e-80","7.42675547978623e-78","170698","Slco1a4","ENSRNOG00000047493"
"78","-5.51987555762094","6.31531780630547","358.345796022486","6.45333767137924e-80","8.25668703177022e-78","300983","Abhd14b","ENSRNOG00000012073"
"79","-5.33061525531601","7.77725638915216","358.276560148018","6.68129268737583e-80","8.39291839583265e-78","83808","Ugt2b35","ENSRNOG00000001980"
"80","-6.15089210670836","5.21926658292732","356.144425520412","1.94597212086004e-79","2.37959670495965e-77","303671","Fads6","ENSRNOG00000021380"
"81","-6.42193862667185","8.8784540527759","354.899447574531","3.6327568892903e-79","4.36499432140986e-77","360622","Igfbp4","ENSRNOG00000010635"
"82","-4.34189126240583","6.72242812809002","354.402609604431","4.66042843891616e-79","5.50408548452509e-77","315594","Oaf","ENSRNOG00000009243"
"83","-5.89888946027087","7.36404654210078","353.514362265334","7.27525450505194e-79","8.51944633481422e-77","24237","C6","ENSRNOG00000024115"
"84","-5.08364334983142","5.10463624286424","353.466157616486","7.45324064557287e-79","8.65452766727109e-77","65164","Htra1","ENSRNOG00000020533"
"85","-5.84905711396022","5.34139481462954","352.409900040385","1.26577000464073e-78","1.4575341603438e-76","89787","Lrp3","ENSRNOG00000011451"
"86","-6.68385364817496","4.03894778918815","351.933407806","1.60737026979945e-78","1.83559028000733e-76","498940","Ces2h","ENSRNOG00000039079"
"87","-5.94937867641","7.37817484354453","351.798878903579","1.71953518915187e-78","1.94758501997545e-76","360579","Ccl9","ENSRNOG00000028548"
"88","-5.76693560612162","8.30444612630433","351.21890597124","2.29988892770367e-78","2.58372887829344e-76","287526","Serpinf1","ENSRNOG00000003172"
"89","-4.1571866588818","6.80129947142789","349.346040905553","5.88232258792329e-78","6.55499463870355e-76","100188944","Pnkd","ENSRNOG00000014806"
"90","-6.17963868479964","8.06006568676343","348.52031552363","8.89946267079098e-78","9.83782201479918e-76","81718","Cdo1","ENSRNOG00000000158"
"91","-5.96696184595152","8.00916799267731","347.854029755739","1.24296551160141e-77","1.36311884438955e-75","312705","C1r","ENSRNOG00000011796"
"92","-5.30716638269321","5.18639879853572","347.811052820302","1.27004198851396e-77","1.38184568482566e-75","60586","Clcn4","ENSRNOG00000003533"
"93","-6.72765608708325","5.21746785034635","347.216762717359","1.71094392510306e-77","1.84293706396828e-75","293779","Glyat","ENSRNOG00000012142"
"94","-4.21428834840421","5.77764162755459","347.205653472265","1.72050138407807e-77","1.84293706396828e-75","171135","Slc31a1","ENSRNOG00000014475"
"95","-6.65701212734935","3.5399163082151","345.390769464066","4.27448337499747e-77","4.47460691482689e-75","246142","Bmf","ENSRNOG00000007529"
"96","-6.65992317460536","5.3744169520349","341.222433724882","3.45658842685913e-76","3.56441334942832e-74","246266","Aspg","ENSRNOG00000012843"
"97","-4.0540017253241","6.317423109195","340.828192937749","4.21216671304424e-76","4.31138664006262e-74","NULL"," ","ENSRNOG00000047706"
"98","-4.52646550634077","7.11004961866255","339.747434362305","7.24227418135709e-76","7.3046528932841e-74","29336","Sigmar1","ENSRNOG00000014604"
"99","-4.5682119229586","4.6595473677198","338.548944263569","1.32095092040102e-75","1.32267389986241e-73","500536","Hyi","ENSRNOG00000037518"
