"","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5"
"ENSRNOG00000015660",17.3959582554814,19.5689273208308,14.2997197265016,15.0130098967975,6.19137832348695,4.03499800926542,3.26194995395235,3.91112189023746,8.6126449596559,8.64705221213044,10.012383239292,11.1216518742524,9.00614187259691,9.49000337110227,10.2894371770962,9.58692723101855
"ENSRNOG00000046983",2.02452962456033,1.50530210160237,2.30640640750026,1.55540192624479,1.03189638724782,1.42411694444662,1.63097497697617,1.38039596126028,1.64050380183922,1.72058691976065,2.59580306203867,2.80546173404564,1.21958171191417,2.71801067424774,1.63056654719011,1.63076597228666
"ENSRNOG00000010753",6.89839723924262,4.0577708825803,3.55845560014326,3.85469173025883,4.38555964580326,4.5097036574143,4.40363243783567,2.87582491929225,9.68922557961289,7.10293574567858,8.37014048575734,8.06570248538121,6.19172253741038,8.5225758429802,9.16490852386163,8.35149846413472
"ENSRNOG00000011015",2.39944251799743,2.02888544129015,2.43820105935742,1.89353277977627,3.61163735536739,2.84823388889324,2.93575495855711,1.95556094511873,1.8968325208766,1.58823407977906,1.37736489006134,1.40273086702282,1.97009353463057,2.21126292142189,1.63056654719011,1.82843457498807
"ENSRNOG00000011411",2.09951220324775,1.96343752382918,1.18615186671442,1.01439256059443,1.80581867768369,2.84823388889324,2.93575495855711,0.92026397417352,4.87024566171018,2.99999770624934,3.39043665245867,4.15809507010336,3.18967524654474,4.79106966308076,3.20490666171848,4.94171506753533
"ENSRNOG00000011540",24.0694077586617,26.179166984389,26.1612383936458,25.2245616734481,23.475642809888,22.7858711111459,21.0395772029926,27.4928862284339,21.8392068619846,25.411745276465,24.156861148768,23.0448642439463,24.5792621939624,24.1396202255223,27.3260462735997,25.598084049833
"ENSRNOG00000047746",0.674843208186778,0.0654479174609726,0.856665237071526,0.202878512118886,9.80301567885434,11.8676412037218,18.2669197421331,23.2366653478814,4.76771417409523,1.1470579465071,2.59580306203867,1.75341358377852,1.17267472299439,1.38203932588868,1.74301941251356,2.47085753376767
"ENSRNOG00000056940",79.2565856726027,44.8318234607662,59.1099013579353,27.3209729653433,64.751498299801,89.0073090279138,73.720068959323,82.5936916820735,29.2214739702611,30.132329902475,25.0044703118827,39.7273420553249,30.5364497867739,22.9418528097521,24.570951073175,22.6824721599872
"ENSRNOG00000060972",25.6440419110975,19.6343752382918,24.4479079195028,28.2001131845251,17.542238583213,17.0894033333594,19.8978947191093,20.4758734253608,11.0221349186073,10.3235215185639,12.1314061470787,9.66882347626443,10.5071655180297,10.5956348318132,9.50226711983199,10.3776016418242
"ENSRNOG00000051450",7.57324044742939,6.61023966355823,9.35742028185821,6.89786941204211,24.7655132939478,30.6185143056023,26.7479896224092,23.5817643381965,26.4531238046574,17.0293987442977,17.0581344076827,20.7904753505168,16.1829111773226,17.828307303964,16.8117033658566,16.7029969282694
"ENSRNOG00000059224",5.47372824418164,4.38501046988516,4.0856342075719,4.73383194944066,4.38555964580326,3.32293953704211,4.40363243783567,2.87582491929225,5.69049756262979,8.60293459880325,6.67492215952801,7.5146296447651,8.63088596123871,5.25174943837698,6.29736045811351,5.97947523171776
"ENSRNOG00000055142",1.72459930981065,0.327239587304863,2.10871442971453,2.09641129189515,0.773922290435869,0.71205847222331,0,0.23006599354338,3.53733632271582,3.48529145284849,6.19814200527601,4.35848519396376,3.47111718006339,5.25174943837698,5.0603789395555,5.1888008209121
"ENSRNOG00000053347",7.04836239661745,6.61023966355823,8.17126841514379,8.4532713382869,6.44935242029891,8.78205449075416,11.090629843438,14.7242235867763,3.79366504175319,4.05882042610205,4.76780154252001,4.75926544168457,4.2216290027798,4.69893370802151,5.90377542948142,4.24987495808039
"ENSRNOG00000060603",7.34829271136713,10.0135313715288,4.74460746685769,7.37125260698618,0.773922290435869,1.42411694444662,0.815487488488086,0.34509899031507,2.66581867798873,3.35293861286691,3.337461079764,2.60507161018524,3.47111718006339,3.8697101124883,2.58641590243948,3.01444619119655
"ENSRNOG00000053735",6.14857145236842,11.5842813905922,6.19434863728642,5.88347685144768,3.61163735536739,4.74705648148873,2.44646246546426,1.38039596126028,8.30505049681105,9.39705163869278,8.52906720384134,8.91736051178792,9.33449079503534,9.49000337110227,8.60264419724435,8.45033276548542
"ENSRNOG00000011994",104.9006275837,74.2833863182039,97.0008637668682,97.3140596463588,4.1275855489913,3.08558671296768,1.30477998158094,1.38039596126028,27.6322359122294,20.691160650455,27.4413466558374,27.3031543759799,20.3576331911826,26.6733589896515,27.7196313022318,27.2288500221197
"ENSRNOG00000049517",4.87386761468228,2.22522919367307,3.42666094828611,2.63742065754551,20.3799536481445,5.93382060186092,10.6013373503451,10.2379367126804,30.5543833092555,30.2205651291294,31.5734413260214,19.0370617667383,40.4807314377663,32.2475842707359,19.5667985662813,13.3920478330208
"ENSRNOG00000012074",23.3195819717875,25.3937919748574,36.9683998459328,21.0993652603641,187.547168382292,288.858386898589,240.568809103985,174.390023105882,50.4967576503635,26.999979356244,29.6133451363187,30.5594938887114,22.6091686593318,31.7869044954396,22.9403845259849,20.7552032836484
"ENSRNOG00000012311",0,0,0.065897325928579,0,6.44935242029891,6.40852625000979,5.21911992632375,6.09674882889957,1.64050380183922,0.397058519944765,1.21843817197733,1.70331605281342,1.07886074515484,0.829223595533208,1.12452865323456,1.13659446553313
"ENSRNOG00000012322",9.5227874933023,11.1261459683653,10.9389561041441,12.4432154099583,4.1275855489913,2.84823388889324,1.95716997237141,1.03529697094521,7.12593838923911,6.39705393244344,5.88028856910801,5.96160618484698,5.91028060389172,7.00233258450265,6.57849262142215,5.97947523171776
"ENSRNOG00000031700",4.27400698518292,3.92687504765836,3.95383955571474,6.01872919286027,7.73922290435869,8.30734884260528,9.94894735955465,14.6091905900046,16.5075695060071,14.5146947846475,17.6938412800187,16.0813074397973,12.6179800194196,12.7608297757055,12.6509473488888,13.3426306823454
"ENSRNOG00000012701",32.2425088355905,19.5034794033698,30.049180623432,34.2864685480917,4.1275855489913,6.17117342593535,3.91433994474281,4.02615488700915,15.7898490927025,17.4264572642425,18.3295481523547,17.7846234926107,17.4493998781565,20.8227258433894,19.2856664029726,16.5547454762434
"ENSRNOG00000058050",46.1142858927631,37.3707608702154,45.4691548907195,58.7671423437705,270.098879362118,405.873329167287,357.020422460084,399.969729775166,64.133445503152,82.1469960152392,81.4764308043974,76.9999050933598,87.4346273464617,83.3369713510874,79.110590755051,68.9863423427933
"ENSRNOG00000013969",3.29923346224647,2.6179166984389,1.71333047414305,3.65181321813994,12.8987048405978,8.78205449075416,7.33938739639278,5.29151785149774,2.46075570275883,3.4411738395213,2.066047335092,2.45477901728993,3.37730320222384,2.34946685401076,1.91169871049874,2.76736043781979
"ENSRNOG00000055858",0,0.130895834921945,0.065897325928579,0.0676261707062952,11.3508602597261,6.64587907408423,12.0692148296237,9.08760674496351,1.53797231422427,0.970587493198315,2.066047335092,3.45672963659195,1.40720966759327,0.368543820236981,1.06830222057283,1.23542876688383
"ENSRNOG00000014531",48.2887806746983,41.8212192575615,40.1314714905046,45.9857960802807,192.190702124907,234.267237361469,237.469956647731,244.100019149526,60.7499064118586,58.0587791385901,82.1121376767334,64.9264001307705,68.8125527453108,60.6254584289834,75.4558726320387,72.4949600407434
"ENSRNOG00000014907",780.118748663915,691.195456305332,718.544441925225,825.174534958214,42.3077518771608,31.3305727778256,15.6573597789713,9.08760674496351,187.581356591553,174.485160709061,248.190558074514,208.305533752889,142.597246316118,212.373376411561,237.837810159109,184.869560676497
"ENSRNOG00000047605",105.725435949262,86.064011461179,88.1047247665101,102.724153302862,15.9943940023413,23.9726352315181,13.210897313507,9.2026397417352,28.6575507883789,37.1911480348263,31.4145146079374,34.2166136491638,32.7879852549231,32.2475842707359,35.4226525768885,32.2199822403304
