"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"134"," 2.215978e+00"," 1.170285e+00","1.629920e+01","5.408685e-05","7.551574e-03","ENSRNOG00000047175"
"135"," 1.116974e+00"," 3.285323e+00","1.625094e+01","5.548216e-05","7.678439e-03","ENSRNOG00000027230"
"136"," 1.887450e+00"," 1.938082e+00","1.623956e+01","5.581633e-05","7.678439e-03","ENSRNOG00000061731"
"137"," 1.579563e+00"," 2.130577e+00","1.618592e+01","5.741931e-05","7.841299e-03","ENSRNOG00000007206"
"138"," 1.796040e+00"," 2.403879e+00","1.610688e+01","5.986600e-05","8.093947e-03","ENSRNOG00000026447"
"139"," 1.933013e+00"," 2.153327e+00","1.609841e+01","6.013462e-05","8.093947e-03","ENSRNOG00000001157"
"140"," 1.684930e+00"," 1.672120e+00","1.604964e+01","6.170349e-05","8.245790e-03","ENSRNOG00000043344"
"141"," 2.155140e+00"," 1.127873e+00","1.602266e+01","6.258880e-05","8.304779e-03","ENSRNOG00000037865"
"142"," 1.528835e+00"," 2.689973e+00","1.595664e+01","6.481006e-05","8.369724e-03","ENSRNOG00000005007"
"143"," 1.413704e+00"," 3.322518e+00","1.595535e+01","6.485422e-05","8.369724e-03","ENSRNOG00000001103"
"144"," 2.797517e+00"," 8.556629e-01","1.595204e+01","6.496782e-05","8.369724e-03","ENSRNOG00000028622"
"145"," 1.337252e+00"," 2.843810e+00","1.595109e+01","6.500033e-05","8.369724e-03","ENSRNOG00000019035"
"146","-7.415063e-01"," 6.351967e+00","1.594195e+01","6.531507e-05","8.369724e-03","ENSRNOG00000021031"
"147"," 1.379438e+00"," 2.863858e+00","1.591042e+01","6.641205e-05","8.392557e-03","ENSRNOG00000017346"
"148"," 3.556722e+00","-2.493045e-01","1.590571e+01","6.657758e-05","8.392557e-03","ENSRNOG00000008242"
"149"," 2.127952e+00"," 1.783630e+00","1.589829e+01","6.683900e-05","8.392557e-03","ENSRNOG00000016679"
