"","X242.Adult","X242.Fetal","X243.Adult","X243.Fetal","X248.Adult","X248.Fetal","X249.Adult","X249.Fetal"
"ENSRNOG00000047328",1.36079860468602,1.55406669365685,0.488587342374886,0.302355788621338,0,1.6587757813697,0.467258483197286,0.953685634778104
"ENSRNOG00000047329",17.4810282294281,17.5480030825419,17.2401533666567,15.5713231139989,15.0872330731983,15.1501521365099,19.8117596875649,18.6249194556665
"ENSRNOG00000047331",1.25612178894094,1.55406669365685,0.348990958839204,0.151177894310669,1.6233098876226,0.774095364639193,0.373806786557829,1.34637971968674
"ENSRNOG00000047339",28.6814475141515,28.8149866115541,23.8011833928337,22.374328357979,27.8827345403411,29.7473790125633,32.6146421271706,24.0104383344134
"ENSRNOG00000047341",0.209353631490157,2.91387505060659,0.418789150607045,2.11649052034937,1.6233098876226,1.21643557300445,0.280355089918372,1.23418140971284
"ENSRNOG00000047349",0.942091341705706,4.59744730206818,0.558385534142727,1.66295683741736,1.90977633837953,2.43287114600889,0.841065269755115,2.69275943937347
"ENSRNOG00000047351",33.7059346699153,59.1840399167651,19.6830900785311,46.4116135533754,104.751232160117,76.8566112034627,24.9516030027351,36.7449465164505
"ENSRNOG00000047356",6.69931620768502,8.74162515181978,6.56103002617704,5.59358208949475,4.67895202902984,11.7220155216792,5.51365010172797,6.2831053585381
"ENSRNOG00000047363",0.209353631490157,2.84912227170423,1.04697287651761,1.13383420733002,0,0.995265468821819,1.86903393278914,2.41226366443873
"ENSRNOG00000047367",5.02448715576377,10.8137140766956,5.72345172496295,8.7683178700188,8.97594879038378,14.1548866676881,10.6534934168981,15.2589701564497
"ENSRNOG00000047368",0.837414525960627,1.0360444624379,0.488587342374886,2.11649052034937,0,1.6587757813697,1.40177544959186,2.69275943937347
"ENSRNOG00000047369",5.02448715576377,3.9499195130445,4.11809331430261,5.06445945940741,1.43233225378465,3.20696651064808,4.48568143869395,2.52446197441263
"ENSRNOG00000047374",210.923783726333,144.916719183501,216.374394480307,186.629110526521,169.492650031183,119.763611414892,316.614348214481,185.351608076874
"ENSRNOG00000047386",279.068390776379,220.547964941468,287.847742850576,247.856157722342,218.191946659861,221.059519130535,231.012594092738,191.185920195516
"ENSRNOG00000047388",1.25612178894094,0.841786125730794,0.209394575303523,0.680300524398011,0.763910535351811,1.6587757813697,0.560710179836743,1.00978478976505
"ENSRNOG00000047393",327.11504920337,219.058651026714,306.972447394964,248.53645824674,244.928815397174,196.951977774629,540.337709969342,273.315083096407
"ENSRNOG00000047394",28.5767706984064,25.8363587820451,26.313918296476,31.1426462279978,39.1504149367803,22.5593506266279,34.5771277565992,26.2544045338913
"ENSRNOG00000047401",0.523384078725392,2.84912227170423,0.697981917678409,0.151177894310669,1.24135461994669,1.6587757813697,1.3083237529524,2.0195695795301
"ENSRNOG00000047402",0.209353631490157,1.74832503036396,0.348990958839204,1.36060104879602,0,1.21643557300445,0.6541618764762,1.17808225472589
"ENSRNOG00000047403",1.04676815745078,2.46060559829001,0.628183725910568,1.20942315448535,0,1.54819072927839,0.6541618764762,1.34637971968674
"ENSRNOG00000047406",1.04676815745078,0,0.628183725910568,0.226766841466004,0.763910535351811,2.87521135437414,1.21487205631294,1.85127211456926
"ENSRNOG00000047410",1.88418268341141,2.46060559829001,1.32616564358898,0.755889471553345,0,1.87994588555233,0.841065269755115,0.897586479791157
"ENSRNOG00000047413",0.209353631490157,2.71961671389949,1.25636745182114,0.680300524398011,0,0.995265468821819,1.3083237529524,1.79517295958231
"ENSRNOG00000047414",1.15144497319586,1.23030279914501,0.139596383535682,0.907067365864014,0,2.32228609391758,0.841065269755115,0.504892394882526
