"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"3882","0.477155614122254","6.52030520169058","6.29752482863708","0.0120906677791954","0.0225524901961288","361724","Mta2","ENSRNOG00000019913"
"3883","0.70889610673194","1.4616039598656","6.28706248092213","0.012162246050906","0.0226707022705274","299818","Llph","ENSRNOG00000004316"
"3884","0.604584244581802","4.05993449665801","6.27957226570694","0.0122137576682724","0.0227605803722439","362896","Stat6","ENSRNOG00000025023"
"3885","0.508694006015186","3.91435078602583","6.27133896517832","0.0122706382406519","0.0228604124591247","81525","Nfkbib","ENSRNOG00000020063"
"3886","1.44011364214773","-0.746719476964237","6.26826062848436","0.0122919750600339","0.0228970762172485","308449","Hipk4","ENSRNOG00000020835"
"3887","0.45526214696084","4.08464371535555","6.26758356815692","0.0122966730669352","0.022902740051073","292756","Pak4","ENSRNOG00000019883"
"3888","0.442973742462222","4.87042990060114","6.25262036683625","0.0124009723744653","0.0230783348512272","313666","Zbtb17","ENSRNOG00000010436"
"3889","0.614387524079191","5.62415098830578","6.25063296460358","0.0124148935485624","0.023090236894617","361517","Vasp","ENSRNOG00000016367"
"3890","0.692268348896827","3.19653270616955","6.25053306942836","0.0124155937088245","0.023090236894617","362046","Dapp1","ENSRNOG00000010575"
"3891","0.511802267729918","5.19585350279006","6.23594559729425","0.0125182733311611","0.0232652993799576","500569","Kdm1a","ENSRNOG00000022372"
"3892","1.14680675982475","0.845802899337232","6.23035636963091","0.0125578461239857","0.0233294323395044","114202","Mpp3","ENSRNOG00000033653"
"3893","0.718139080751532","2.20667093701126","6.23011705714295","0.0125595433686084","0.0233294488866018","297066","Zfp212","ENSRNOG00000006711"
"3894","1.04759023597434","0.783699307257439","6.22536205500247","0.0125933155600632","0.0233890368829239","498814","Mtcp1","ENSRNOG00000024071"
"3895","0.484858977034559","3.62384697082559","6.22288281614696","0.0126109612399609","0.0234186617946217","690354","Lyrm2","ENSRNOG00000043105"
"3896","0.482358638080889","4.73924790552832","6.21818437610698","0.0126444715438912","0.0234714276992864","301246","Polr1c","ENSRNOG00000019079"
"3897","0.495862800342531","4.92994796463802","6.21509658308023","0.0126665441749483","0.0235092420966335","498171","Prkrip1","ENSRNOG00000001426"
"3898","0.567720462620639","2.86140624199134","6.2041729679684","0.0127449483380558","0.0236452331008667","84596","Srm","ENSRNOG00000011078"
"3899","0.501635171238881","4.44259130053069","6.20328796819116","0.0127513222170894","0.023653882453449","680594","Dph3","ENSRNOG00000019727"
"3900","1.50408111652646","-0.945102495345285","6.18796382099218","0.0128622096187388","0.0238531757497963","362994","Ccdc65","ENSRNOG00000058916"
"3901","1.27970468594795","-0.755770677165663","6.18065257422126","0.0129154634456925","0.0239422959340728","690599","Mxra7","ENSRNOG00000042915"
"3902","0.478139592400572","3.91931903510797","6.179563111502","0.0129234182784459","0.0239538288090631","304012","Trmt10c","ENSRNOG00000039567"
"3903","0.482558067478779","3.38223933123649","6.1782997671083","0.0129326490335932","0.0239653198515981","300782","Ints14","ENSRNOG00000012469"
"3904","0.514267542823415","3.1963678283177","6.17730983798223","0.0129398867875503","0.023974705769693","361753","Noc3l","ENSRNOG00000013965"
"3905","0.838068277980911","0.972424247681605","6.16967359480361","0.0129958584308689","0.0240687269531894","294924","Mecom","ENSRNOG00000012645"
"3906","0.645422165696863","1.91600419666451","6.15805740315606","0.0130814797131526","0.0242208075407131","65209","Dync2h1","ENSRNOG00000032070"
"3907","0.561746323273438","3.53243519771388","6.15614367416671","0.0130956410746087","0.0242430536045198","499360","Slf2","ENSRNOG00000014482"
"3908","0.605506172620056","3.06591830450832","6.14396077463309","0.0131861633365886","0.0243982866878656","310859","Tet2","ENSRNOG00000023579"
"3909","0.862025964622421","2.13093421670289","6.12949388779919","0.0132944923178261","0.0245855587322967","311020","Rbm43","ENSRNOG00000004673"
"3910","0.655050303028951","7.40868888264756","6.11166127992526","0.0134292843467663","0.0248196927848433","294680","Btf3","ENSRNOG00000016912"
"3911","1.1028967219022","6.84764729307415","6.11155658821798","0.0134300798199648","0.0248196927848433","299735","Amdhd1","ENSRNOG00000005266"
"3912","0.486977720461508","3.95317046511162","6.10379243181838","0.0134892090350724","0.0249189693110469","25579","Map3k12","ENSRNOG00000015134"
"3913","1.03204257586111","0.976053481884846","6.10173013497216","0.0135049597512048","0.0249447311645699","50594","Nbl1","ENSRNOG00000049402"
"3914","0.683122440542237","2.9695453851517","6.09147471770551","0.0135835664826387","0.025066469238395","499331","LOC499331","ENSRNOG00000025644"
"3915","1.69643125654659","-0.922659783089568","6.08827702574685","0.0136081725830668","0.025105170728013","308594","Odad1","ENSRNOG00000021109"
"3916","1.55298513316622","-0.127181728019102","6.08579355028134","0.0136273144437459","0.02513712868558","156726","Runx3","ENSRNOG00000054217"
"3917","0.54432587541334","6.40437381577427","6.08040515319348","0.0136689418305277","0.0252004587343872","287633","Lrrc59","ENSRNOG00000003524"
"3918","0.657960650788142","2.90224037799674","6.07793303585447","0.0136880836086338","0.0252323825112195","363032","Rp9","ENSRNOG00000029456"
"3919","0.472667194710037","4.71031065197114","6.07755826577358","0.0136909878855253","0.0252343698282231","314856","Mdm2","ENSRNOG00000006304"
"3920","1.07280267778546","0.691600530604529","6.07727959026127","0.0136931478894245","0.0252349850008092","499300","Ptprcap","ENSRNOG00000021724"
"3921","1.39424895471831","0.646517572675711","6.075067980135","0.0137103024343047","0.0252632296355811","NULL"," ","ENSRNOG00000054310"
"3922","0.978018200107296","0.161020336316277","6.0679425283048","0.013765722112084","0.0253619664193036","361685","Tnfrsf26","ENSRNOG00000043486"
"3923","1.50607160969252","-0.40363490765072","6.06422842937698","0.0137947005941795","0.0254051942969975","310341","Fat4","ENSRNOG00000028335"
"3924","0.76242469337306","3.34094480491273","6.06212051097495","0.0138111750944245","0.0254321451832033","362925","Zfat","ENSRNOG00000025140"
"3925","0.475651344542121","6.85075064493766","6.05089662828283","0.0138992371250719","0.0255840760082914","24511","Itgb1","ENSRNOG00000010966"
"3926","0.422544159718046","7.00725593768151","6.04729074082652","0.0139276511761956","0.025629549068141","363005","Pcbp2","ENSRNOG00000036852"
"3927","0.502247448658245","7.16543708802532","6.04656771899255","0.0139333557084511","0.0256366323807427","79120","Arf4","ENSRNOG00000012623"
"3928","2.55449175270222","4.66582999692668","6.04412839951327","0.0139526193097453","0.0256686584505472","288075","Stfa3","ENSRNOG00000033933"
"3929","0.733547207152924","3.85764212944295","6.04040211825914","0.013982099118559","0.0257194682668063","367039","Dock6","ENSRNOG00000010652"
"3930","0.946520454915855","1.56700472258722","6.03987451999447","0.0139862782940953","0.0257237313280726","286972","Ptar1","ENSRNOG00000014891"
"3931","0.570056358336979","2.63658776667177","6.03617776388625","0.0140155968611499","0.0257718763827084","498514","RGD1565222","ENSRNOG00000013317"
"3932","0.423154005319058","5.69315881364034","6.02500959895589","0.0141045550371011","0.0259274632835789","362892","Mbd6","ENSRNOG00000006209"
"3933","0.558039022859787","3.71270087757935","6.02049077000451","0.0141407139269891","0.0259904742010024","500288","Thumpd3","ENSRNOG00000006941"
