"","ENSEMBL","SYMBOL","Dual-Adult_logFC","Dual-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"92","ENSRNOG00000009741","Cyp4a3",-5.43419562080617,3.47790396503383e-45,NA,NA,-0.6365512,0.045038079
"93","ENSRNOG00000009778","Tmem59",-2.05287908352235,2.23903441760247e-28,NA,NA,-0.5361109,0.046152473
"94","ENSRNOG00000009797","Aqp3",6.78605951700126,9.52589805985554e-35,1.5166401,0.04939056,NA,NA
"95","ENSRNOG00000009921","Serpina3m",-7.91965603445633,1.18804550751697e-83,NA,NA,-0.7490956,0.013375569
"96","ENSRNOG00000010067","Lypla2",-1.02225001568964,3.27110582499427e-10,NA,NA,-0.8134752,0.049997394
"97","ENSRNOG00000010325","Ptger3",-4.56045407114302,1.4650227650693e-26,NA,NA,-0.7273601,0.019733676
"98","ENSRNOG00000010326","Col20a1",1.83989919553172,0.00351278853834788,1.5682924,0.002088466,NA,NA
"99","ENSRNOG00000010350","Rcan2",-5.09502383746396,1.1706968441522e-22,NA,NA,-0.8003672,0.019478259
"100","ENSRNOG00000010423","Misp",5.09490946331757,7.85320041093786e-07,3.1691003,0.006421703,NA,NA
"101","ENSRNOG00000010466","Chpf2",-1.71214585796938,1.507259806775e-20,NA,NA,-0.8008321,0.011597687
"102","ENSRNOG00000010800","Hadhb",-1.37178894780902,2.79087932418132e-10,NA,NA,-0.6321272,0.026885698
"103","ENSRNOG00000010867","Msantd1",1.73135827555319,0.0493455335541185,1.4914433,0.0162075,NA,NA
"104","ENSRNOG00000010899","Bfsp2",7.22894129677212,1.88770772969432e-35,1.60981,0.02839731,NA,NA
"105","ENSRNOG00000010929","Tcam1",9.01883082954489,1.76314754457585e-20,1.5594968,0.02885864,NA,NA
"106","ENSRNOG00000011016","Slc7a2",-4.64882405937736,3.29421881103248e-30,NA,NA,-0.6730438,0.01296085
"107","ENSRNOG00000011053","Cyp2u1",-0.883085747279272,0.00173812823759647,NA,NA,-0.6602996,0.045134772
"108","ENSRNOG00000011063","Dennd1b",-2.12149879637378,0.000221668537114433,NA,NA,-0.604482,0.037693179
"109","ENSRNOG00000011076","Ank2",1.90945154817997,1.3230837470379e-07,0.7035825,0.03259378,NA,NA
"110","ENSRNOG00000011119","Spin1",-1.5846602098228,4.89610262915961e-07,NA,NA,-0.777576,0.030690491
"111","ENSRNOG00000011141","Serpina11",-3.56665500737494,7.41588765184573e-32,NA,NA,-0.6520046,0.017441885
"112","ENSRNOG00000011158","Ppp2r2a",1.45409920773657,1.88924918952137e-13,NA,NA,-0.6815147,0.048522843
"113","ENSRNOG00000011300","Lama3",-2.75087086225543,1.59673504589442e-12,0.794039,0.01615474,NA,NA
"114","ENSRNOG00000011592","Lrp10",-1.24736184823205,1.21150283947959e-12,NA,NA,-0.6086952,0.042263532
"115","ENSRNOG00000011612","Tdo2",-7.33183367900882,2.45520601587739e-44,NA,NA,-0.6747071,0.041966814
"116","ENSRNOG00000011659","Alpk3",6.99463293806374,1.27246865087313e-22,1.0730787,0.03735942,NA,NA
"117","ENSRNOG00000011680","Il16",3.69338662583522,9.76713249968589e-14,0.7833401,0.03715357,NA,NA
"118","ENSRNOG00000011688","Neil3",4.69550098268433,9.53726516033877e-15,2.0179996,0.03704407,NA,NA
"119","ENSRNOG00000011705","Stmn2",3.33705505415839,1.17091374447983e-09,2.0725284,0.047723,NA,NA
"120","ENSRNOG00000011763","Serp1",-1.92407665185437,1.72900926456866e-13,NA,NA,-0.6449806,0.028163166
"121","ENSRNOG00000011781","Oplah",-2.13537161875981,1.00530006666563e-19,NA,NA,-0.6158048,0.028338815
"122","ENSRNOG00000011809","Rpgrip1",2.51667722317024,8.60250143939887e-09,1.0043892,0.02284071,NA,NA
"123","ENSRNOG00000011821","S100a4",3.84019089441572,1.23243210695763e-35,2.1575505,0.04482953,NA,NA
"124","ENSRNOG00000011892","Slc36a2",2.53269363784638,1.4707075133915e-09,2.0580405,0.01835416,NA,NA
"125","ENSRNOG00000012058","Egflam",1.43761358267078,0.0461731931013232,1.1684488,0.01346819,NA,NA
"126","ENSRNOG00000012110","Col17a1",5.15932750295109,1.28428444768881e-14,1.25761,0.00268594,NA,NA
"127","ENSRNOG00000012156","Ostf1",0.641270519739765,0.00495668418306115,NA,NA,-0.8734264,0.0194235
"128","ENSRNOG00000012457","Cyc1",-1.28964695217203,8.20943012231601e-10,NA,NA,-0.6935861,0.044573191
"129","ENSRNOG00000012543","Mcm3",5.31214361596525,5.59080033512242e-51,1.0965884,0.01006997,NA,NA
"130","ENSRNOG00000012751","Tm9sf2",-1.37997676409213,1.09347566608843e-11,NA,NA,-0.6784657,0.030189989
"131","ENSRNOG00000012835","Espl1",4.88787708255245,7.70091631014152e-31,1.2988038,0.01903318,NA,NA
"132","ENSRNOG00000012843","Aspg",-6.65992317460536,3.56441334942832e-74,NA,NA,-0.7214049,0.028519046
"133","ENSRNOG00000012892","Abca4",3.84493448726668,2.96802340731407e-12,1.1686873,0.002062951,NA,NA
"134","ENSRNOG00000013069","Sapcd2",3.92357853316958,2.33174498133824e-28,2.3026336,0.03986986,NA,NA
"135","ENSRNOG00000013280","Olfm4",10.1738882754436,7.15431184722267e-14,2.2281734,0.04998032,NA,NA
"136","ENSRNOG00000013343","Myg1",-0.559886203045938,0.0117877081939836,NA,NA,-0.9299575,0.028953701
"137","ENSRNOG00000013586","Snai3",7.8626355850136,2.21742767287544e-11,1.8210558,0.04347397,NA,NA
"138","ENSRNOG00000013658","Nefl",2.07345295715903,0.000606902677699216,1.4676051,0.04902706,NA,NA
"139","ENSRNOG00000013679","Sema4d",3.54826064805469,2.08680408180024e-15,0.9639839,0.04226353,NA,NA
