"","ENSEMBL","SYMBOL","Dual-Adult_logFC","Dual-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"236","ENSRNOG00000027894","Iqgap3",1.55515153467464,2.69972020722426e-05,1.1269124,0.03095457,NA,NA
"237","ENSRNOG00000027911","Stkld1",5.90680687889687,3.50279391500458e-11,1.3905966,0.04664062,NA,NA
"238","ENSRNOG00000027936","Ccdc8",3.7411386059892,2.67983653043657e-08,1.9558501,0.03251633,NA,NA
"239","ENSRNOG00000028627","Hmcn1",1.92195011380773,0.000385657971601693,0.5918217,0.04482953,NA,NA
"240","ENSRNOG00000028844","Slc9a5",6.16873296012964,7.70674506849535e-29,1.3591234,0.017829,NA,NA
"241","ENSRNOG00000028926","RGD1559662",9.12563843584749,8.80045947909209e-45,2.8279795,0.03407712,NA,NA
"242","ENSRNOG00000029055","Ttk",3.51689233783905,1.29003539717961e-19,1.394933,0.04669707,NA,NA
"243","ENSRNOG00000029450","Adgrb1",1.77935085431008,9.09228874163352e-05,1.3172596,0.01859775,NA,NA
"244","ENSRNOG00000029500","Tapbp",-1.66409525995406,8.16430152495433e-15,NA,NA,-0.7401605,0.016207499
"245","ENSRNOG00000029938","Pik3c2b",2.5061310791799,3.27401696863739e-09,0.9123158,0.02123621,NA,NA
"246","ENSRNOG00000030126","Clk3",2.62649516502298,6.34606043398748e-32,NA,NA,-0.5593927,0.043388665
"247","ENSRNOG00000030145"," ",6.44590982380682,2.27092349035434e-14,0.8419827,0.0325341,NA,NA
"248","ENSRNOG00000030515","Nfasc",1.51114324214443,3.59731857932604e-07,1.3908864,0.006769868,NA,NA
"249","ENSRNOG00000030629","Camkmt",2.09540191259405,2.43018084943905e-05,1.8979712,0.0435778,NA,NA
"250","ENSRNOG00000031612","Gls2",-5.07037626527861,6.2206358765386e-94,NA,NA,-0.6429616,0.043044085
"251","ENSRNOG00000031766","CYTB",3.93542486467947,2.51409960939738e-11,0.7898899,0.03722419,NA,NA
"252","ENSRNOG00000031782","Col6a4",7.47107521381666,1.00965208865365e-12,1.5081786,0.003837296,NA,NA
"253","ENSRNOG00000031997","Ttll7",-1.39222501980865,0.0415723042895929,1.0415271,0.01126499,NA,NA
"254","ENSRNOG00000032381","Naglu",-1.48564595438818,7.58198013750764e-12,NA,NA,-0.7734286,0.028320643
"255","ENSRNOG00000032778","Bub1",2.77508384966849,5.59596041478802e-14,1.6074177,0.02712397,NA,NA
"256","ENSRNOG00000033026","Dclk3",4.40549773235385,3.19427479986412e-08,1.6165327,0.02597159,NA,NA
"257","ENSRNOG00000033923","Aox2",-2.04269121503471,0.000196632126002572,1.5094958,0.02230727,NA,NA
"258","ENSRNOG00000036742","Uqcrc2",-1.98153846627305,3.69071233330486e-20,NA,NA,-0.5810887,0.049301898
"259","ENSRNOG00000037865","Hormad2",5.39161781725464,1.46592361346254e-57,2.1551404,0.008304779,NA,NA
"260","ENSRNOG00000037911","LOC680227",-0.651963747401876,0.0190961919838409,1.4815382,0.01484135,NA,NA
"261","ENSRNOG00000038933","Spcs3",-1.79340739947935,2.67886011013863e-16,NA,NA,-0.8238938,0.039705369
"262","ENSRNOG00000039405","Prss29",6.09976385843936,9.52133391463191e-07,2.3831346,0.02167928,NA,NA
"263","ENSRNOG00000039473","Ccdc152",-3.60216464952764,1.96164950076712e-19,NA,NA,-0.9605391,0.017829005
"264","ENSRNOG00000039656","Abca17",3.08271076875209,8.71563168149106e-05,0.9457905,0.04181611,NA,NA
"265","ENSRNOG00000039754","Rab7b",1.37912666391388,0.0121055825334543,1.7239338,0.04656302,NA,NA
"266","ENSRNOG00000039980","Slc25a5",-1.88335598552703,2.73962535090682e-17,NA,NA,-0.8033434,0.010167354
"267","ENSRNOG00000042029","Efs",2.57190683216304,0.000649222708556068,1.2211022,0.03434025,NA,NA
"268","ENSRNOG00000042224","Cyp2j10",-6.65556493321092,3.65519792876078e-128,NA,NA,-0.6361925,0.038889294
"269","ENSRNOG00000042771","Apol3",-3.88655939962819,1.29407990816587e-37,NA,NA,-0.6413063,0.030028105
"270","ENSRNOG00000042785","Sesn2",-1.88395925768509,6.32885127167222e-13,NA,NA,-0.668489,0.022365516
"271","ENSRNOG00000042912","Mycbpap",6.5768472587653,7.70744907205984e-18,1.4070562,0.006995421,NA,NA
"272","ENSRNOG00000045626","Pkd1l2",3.69249595602885,1.55259884187075e-09,0.8221689,0.03359166,NA,NA
"273","ENSRNOG00000046007","Cldn3",-5.5166619042826,8.78462361614247e-41,NA,NA,-0.6470464,0.015135656
"274","ENSRNOG00000046307","Glyctk",-4.94504238003789,1.45676320344662e-61,NA,NA,-0.6077473,0.03308625
"275","ENSRNOG00000046540","Ugt2b",-7.41770969318109,2.71036818339434e-95,NA,NA,-0.7976846,0.03095457
"276","ENSRNOG00000047647","Il2ra",3.87985992880508,7.77172795968418e-08,2.0468021,0.02077939,NA,NA
"277","ENSRNOG00000049937","Pdxk",-2.88826501003574,3.23962549270991e-18,NA,NA,-0.7826492,0.026792061
"278","ENSRNOG00000049955","Npc1l1",7.08365578328624,2.90925558623939e-10,2.1933425,0.002749328,NA,NA
"279","ENSRNOG00000049991","Mcpt8",4.73351385347847,3.21733883191352e-27,1.543765,0.02597159,NA,NA
"280","ENSRNOG00000050156"," ",3.22399768849006,0.000207306499630665,NA,NA,-0.9442783,0.018067442
"281","ENSRNOG00000050325","Adgre4",-1.94271740379697,7.32294851271046e-05,1.1876892,0.04438908,NA,NA
"282","ENSRNOG00000050761","Serpina10",-4.32610084403167,1.10671201987869e-42,NA,NA,-0.9097047,0.028397313
"283","ENSRNOG00000051912","Acnat2",-6.608573200474,4.80306905647575e-17,NA,NA,-0.6742611,0.028959013
"284","ENSRNOG00000052080","Camk2b",2.84313633868315,6.1624286529664e-10,1.3844733,0.008804004,NA,NA
"285","ENSRNOG00000052310","Pkd1l3",3.23613441606725,1.76666189996939e-16,0.9954217,0.02780274,NA,NA
"286","ENSRNOG00000052604","LOC100361907",-4.7127730762457,3.6525841535867e-35,NA,NA,-0.8869588,0.044256069
"287","ENSRNOG00000052707","Cacna1a",1.47245183524158,0.00292787048121936,0.9049528,0.03072969,NA,NA
"288","ENSRNOG00000053040"," ",-3.99909916690269,1.56509583292041e-26,NA,NA,-0.9011569,0.01824136
"289","ENSRNOG00000053334","Stmn4",1.69305638332324,0.00175565618400037,2.2848397,0.01673271,NA,NA
"290","ENSRNOG00000053889","Celsr3",3.07823695214589,8.39853021316267e-10,1.1844555,0.01640937,NA,NA
"291","ENSRNOG00000054052","Ppp4r4",-2.42251482942559,0.000523538949042065,1.0106387,0.03132562,NA,NA
"292","ENSRNOG00000054077"," ",-6.68585495678894,1.68140788900219e-38,NA,NA,-0.6483766,0.049837056
"293","ENSRNOG00000054142","Slc30a2",2.48896399446809,0.000389440908611145,1.9729242,0.007551574,NA,NA
"294","ENSRNOG00000055295","Pecr",-3.85851619568975,1.52235437603676e-24,NA,NA,-0.5754214,0.047191697
"295","ENSRNOG00000055790","Nup210l",5.00786657078351,2.30840979339199e-13,1.4806232,0.002934063,NA,NA
"296","ENSRNOG00000056174","Pdzd4",4.1792977997434,2.51959288844874e-12,1.5985242,0.03069049,NA,NA
"297","ENSRNOG00000056358","Ccdc27",2.10985461611956,0.000423867593532593,1.3867089,0.01207511,NA,NA
"298","ENSRNOG00000056524","Abcd1",-2.14532119022423,1.50254493246274e-25,NA,NA,-0.6376692,0.049012641
"299","ENSRNOG00000056688","Acnat1",-7.03181361111826,7.70014591579163e-22,NA,NA,-0.6321113,0.025218743
"300","ENSRNOG00000056834"," ",3.57658579496221,1.12328066969476e-06,NA,NA,-1.3030919,0.021236207
"301","ENSRNOG00000057290","Tmem168",-2.82983018801041,8.97854042407167e-18,NA,NA,-1.0434246,0.049335601
"302","ENSRNOG00000057867","Mns1",4.33691782214043,3.69168353548665e-20,1.2425001,0.0170551,NA,NA
"303","ENSRNOG00000058271","Chpt1",-4.30358886792724,1.66676990937948e-57,NA,NA,-0.9159864,0.018067442
"304","ENSRNOG00000058316","LOC686087",-1.72258244436812,0.00302549332823822,2.4189906,0.02843391,NA,NA
"305","ENSRNOG00000058386","Golt1b",1.46448282676324,6.23493613567889e-09,0.9938683,0.006002288,NA,NA
"306","ENSRNOG00000058645","Tnc",1.83268077297262,0.00197835846587108,1.4222912,0.005327057,NA,NA
"307","ENSRNOG00000059215","Slc66a2",-1.17056643721771,4.89029364968727e-08,NA,NA,-0.5937989,0.028959013
"308","ENSRNOG00000059330"," ",-7.04824164483508,4.82183119036908e-17,NA,NA,-0.8524906,0.008804004
"309","ENSRNOG00000059947","Sdc1",-5.26199553994946,7.24074764830938e-111,NA,NA,-0.7253607,0.015135656
"310","ENSRNOG00000060005","Surf4",-3.1292490532799,5.27023265855271e-31,NA,NA,-0.6714536,0.03658111
"311","ENSRNOG00000061085","Fancd2",4.66621121623384,2.78161552893857e-32,1.1433405,0.01592628,NA,NA
"312","ENSRNOG00000061147","Fam189a2",3.79960430400351,6.29815537937051e-13,1.8516018,0.01104833,NA,NA
"313","ENSRNOG00000061731","Plxnb3",1.28818562995141,0.029067979154946,1.8874499,0.007678439,NA,NA
