"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"108"," 6.7266857"," 3.5938422597","266.599269"," 6.253179e-60"," 2.796325e-58","ENSRNOG00000039891"
"109"," 4.4795061"," 7.0268948257","266.546829"," 6.419933e-60"," 2.852432e-58","ENSRNOG00000016448"
"110"," 4.8389088"," 4.7501766447","266.274569"," 7.359887e-60"," 3.259581e-58","ENSRNOG00000060703"
"111"," 3.5588032"," 4.9395252650","266.102120"," 8.025234e-60"," 3.531614e-58","ENSRNOG00000004091"
"112"," 6.6516054"," 3.1522984940","265.977231"," 8.544333e-60"," 3.748114e-58","ENSRNOG00000042522"
"113"," 4.4688905"," 3.8244856041","265.287595"," 1.207787e-59"," 5.248177e-58","ENSRNOG00000032807"
"114"," 4.1709600"," 8.5027926756","264.960693"," 1.423121e-59"," 6.164481e-58","ENSRNOG00000023356"
"115"," 4.6134996"," 4.2624055601","263.260713"," 3.340221e-59"," 1.420159e-57","ENSRNOG00000016708"
"116"," 5.3916178"," 2.3574314077","263.185295"," 3.469077e-59"," 1.465924e-57","ENSRNOG00000037865"
"117"," 4.7097626"," 2.8284900830","262.569411"," 4.725592e-59"," 1.978734e-57","ENSRNOG00000056397"
"118"," 3.7568651"," 6.0300588662","262.175863"," 5.757546e-59"," 2.396318e-57","ENSRNOG00000006689"
"119"," 8.4486496"," 7.3089229664","262.146935"," 5.841748e-59"," 2.416805e-57","ENSRNOG00000019440"
"120"," 3.3302482"," 4.9396707310","262.083686"," 6.030166e-59"," 2.487308e-57","ENSRNOG00000001134"
"121"," 4.6630616"," 4.2463270096","261.797347"," 6.962135e-59"," 2.863178e-57","ENSRNOG00000025946"
"122"," 8.2996508"," 4.5666405075","261.751140"," 7.125482e-59"," 2.921659e-57","ENSRNOG00000049096"
"123"," 3.8064537"," 5.1298763761","260.950256"," 1.065086e-58"," 4.354247e-57","ENSRNOG00000014130"
"124"," 4.3613341"," 4.0320979217","260.485571"," 1.344849e-58"," 5.465625e-57","ENSRNOG00000022162"
"125"," 2.8837542"," 5.6076193466","260.168474"," 1.576859e-58"," 6.389748e-57","ENSRNOG00000020115"
"126"," 6.3078418"," 8.1103542111","259.607859"," 2.089266e-58"," 8.416758e-57","ENSRNOG00000046667"
"127"," 5.7534685"," 4.1726352975","259.536296"," 2.165673e-58"," 8.699205e-57","ENSRNOG00000007439"
"128"," 4.7342648"," 5.7980769093","258.396383"," 3.837695e-58"," 1.519463e-56","ENSRNOG00000005274"
"129"," 4.9437170"," 4.3856774644","258.015590"," 4.645971e-58"," 1.823808e-56","ENSRNOG00000029308"
"130"," 7.6928161"," 4.6003589301","257.221093"," 6.922514e-58"," 2.686946e-56","ENSRNOG00000000502"
"131"," 9.3878816"," 1.7685517474","256.099279"," 1.215638e-57"," 4.692092e-56","ENSRNOG00000023151"
"132"," 6.5486615"," 4.0232388609","254.714472"," 2.436015e-57"," 9.376281e-56","ENSRNOG00000049814"
"133"," 4.7180962"," 5.3404981092","252.812248"," 6.329329e-57"," 2.409330e-55","ENSRNOG00000021098"
"134"," 2.9192353"," 6.4254929487","251.469077"," 1.242142e-56"," 4.689596e-55","ENSRNOG00000005183"
"135"," 3.6548339"," 6.0770298108","249.919690"," 2.703635e-56"," 1.001577e-54","ENSRNOG00000011498"
"136"," 5.3712122"," 2.1353286245","249.651222"," 3.093689e-56"," 1.136931e-54","ENSRNOG00000018250"
"137"," 4.9318083"," 3.4773998412","249.353254"," 3.592831e-56"," 1.316863e-54","ENSRNOG00000010891"
"138"," 5.3368906"," 4.2536250728","249.282749"," 3.722269e-56"," 1.360696e-54","ENSRNOG00000014142"
"139"," 5.2117262"," 8.0913655559","248.853773"," 4.616679e-56"," 1.683200e-54","ENSRNOG00000002835"
"140"," 3.1986660"," 4.6553312905","248.447241"," 5.661861e-56"," 2.058831e-54","ENSRNOG00000025222"
"141"," 8.0576026"," 4.8500673222","247.989388"," 7.124891e-56"," 2.577271e-54","ENSRNOG00000011353"
"142"," 5.2184224"," 7.8347433189","247.881745"," 7.520489e-56"," 2.713267e-54","ENSRNOG00000007221"
"143"," 3.2960169"," 6.8462063275","247.494589"," 9.133823e-56"," 3.286749e-54","ENSRNOG00000002420"
"144"," 3.7713829"," 6.8486557884","247.363698"," 9.754148e-56"," 3.500852e-54","ENSRNOG00000010591"
"145"," 3.8701801"," 3.3404279678","246.473602"," 1.524922e-55"," 5.375351e-54","ENSRNOG00000007371"
"146"," 3.5334608"," 3.9300287702","246.180296"," 1.766830e-55"," 6.212229e-54","ENSRNOG00000008102"
