"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"178","-5.0683632"," 6.7968018504","279.731304"," 8.593098e-63"," 4.602304e-61","ENSRNOG00000006331"
"179","-3.8255423"," 5.1745321491","279.694703"," 8.752371e-63"," 4.669508e-61","ENSRNOG00000010887"
"180","-5.5043984"," 5.5663343876","278.773487"," 1.389558e-62"," 7.191353e-61","ENSRNOG00000027784"
"181","-3.0761322"," 5.7488936952","277.602078"," 2.501226e-62"," 1.284830e-60","ENSRNOG00000020083"
"182","-6.2538081"," 5.9660996739","275.639243"," 6.697409e-62"," 3.402382e-60","ENSRNOG00000017976"
"183","-3.3486511"," 6.4750135772","275.242973"," 8.170825e-62"," 4.120601e-60","ENSRNOG00000009112"
"184","-7.5408115","10.2684249707","274.158800"," 1.407803e-61"," 7.073827e-60","ENSRNOG00000004405"
"185","-3.5373522"," 4.3791762909","273.037532"," 2.471189e-61"," 1.228305e-59","ENSRNOG00000028366"
"186","-3.8873802"," 7.1227821091","272.797123"," 2.788046e-61"," 1.380832e-59","ENSRNOG00000019977"
"187","-5.7418660"," 4.5147229395","272.180815"," 3.798544e-61"," 1.861287e-59","ENSRNOG00000057832"
"188","-5.4329453"," 6.4339776711","271.947308"," 4.270782e-61"," 2.085289e-59","ENSRNOG00000020776"
"189","-6.1134428"," 5.3975227100","271.594085"," 5.099048e-61"," 2.480938e-59","ENSRNOG00000007700"
"190","-5.0708911"," 6.6801699247","271.247209"," 6.068589e-61"," 2.932019e-59","ENSRNOG00000013684"
"191","-4.2663661"," 7.3480669600","271.105385"," 6.516241e-61"," 3.137332e-59","ENSRNOG00000011258"
"192","-3.7515117"," 5.1135368968","270.807274"," 7.567779e-61"," 3.618394e-59","ENSRNOG00000016763"
"193","-4.5945521"," 4.3257497808","270.476411"," 8.934656e-61"," 4.242580e-59","ENSRNOG00000002385"
"194","-5.5517530"," 7.9450670471","269.486786"," 1.468123e-60"," 6.876787e-59","ENSRNOG00000007457"
"195","-5.7336114"," 5.1365926551","269.318253"," 1.597694e-60"," 7.458426e-59","ENSRNOG00000050360"
"196","-6.4087651"," 8.3818141724","268.783327"," 2.089681e-60"," 9.654757e-59","ENSRNOG00000008902"
"197","-5.4320860"," 4.6224065603","268.777191"," 2.096126e-60"," 9.654757e-59","ENSRNOG00000006082"
"198","-4.2198836"," 4.3893882499","267.412515"," 4.157673e-60"," 1.889826e-58","ENSRNOG00000039745"
"199","-4.1158426"," 5.1637196287","267.386888"," 4.211490e-60"," 1.908012e-58","ENSRNOG00000006778"
"200","-4.7933375"," 3.9347275785","266.781807"," 5.705788e-60"," 2.576555e-58","ENSRNOG00000023109"
"201","-3.6196540"," 5.6178970858","266.707222"," 5.923410e-60"," 2.657457e-58","ENSRNOG00000004327"
"202","-3.9195445"," 4.5340714755","266.576566"," 6.324834e-60"," 2.819244e-58","ENSRNOG00000019458"
